Season,Matchnumber,Venue,Date_Time,Winningteam,Firstteam,Secondteam,Link
2009,44,"Kingsmead, Durban","MAY, THU 14 , 4:00 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 2 WICKETS,"ROYAL CHALLENGERS BANGALORE
132/8
(19.4 OV)","CHENNAI SUPER KINGS
129
(19.4 OV )",https://www.iplt20.com/match/2009/10102
2009,43,"Kingsmead, Durban","MAY, WED 13 , 8:00 pm IST",DELHI DAREDEVILS WON BY 12 RUNS,"DECCAN CHARGERS
161
(19.4 OV)","DELHI DAREDEVILS
173/7
(20 OV )",https://www.iplt20.com/match/2009/10101
2009,42,"SuperSport Park, Centurion","MAY, TUE 12 , 8:00 pm IST",MUMBAI INDIANS WON BY 8 WICKETS,"PUNJAB KINGS
119/9
(20 OV)","MUMBAI INDIANS
122/2
(16.2 OV )",https://www.iplt20.com/match/2009/10100
2009,41,"SuperSport Park, Centurion","MAY, TUE 12 , 4:00 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 6 WICKETS,"ROYAL CHALLENGERS BANGALORE
176/4
(19.2 OV)","KOLKATA KNIGHT RIDERS
173/4
(20 OV )",https://www.iplt20.com/match/2009/10099
2009,40,"De Beers Diamond Oval, Kimberley","MAY, MON 11 , 8:00 pm IST",DECCAN CHARGERS WON BY 53 RUNS,"DECCAN CHARGERS
166/7
(20 OV)","RAJASTHAN ROYALS
113
(19.3 OV )",https://www.iplt20.com/match/2009/10098
2009,39,"New Wanderers Stadium, Johannesburg","MAY, SUN 10 , 8:00 pm IST",DELHI DAREDEVILS WON BY 7 WICKETS,"DELHI DAREDEVILS
125/3
(17.1 OV)","KOLKATA KNIGHT RIDERS
123/8
(20 OV )",https://www.iplt20.com/match/2009/10097
2009,38,Port Elizabeth,"MAY, SUN 10 , 4:00 pm IST",MUMBAI INDIANS WON BY 16 RUNS,"ROYAL CHALLENGERS BANGALORE
141/7
(20 OV)","MUMBAI INDIANS
157/2
(20 OV )",https://www.iplt20.com/match/2009/10096
2009,37,"De Beers Diamond Oval, Kimberley","MAY, SAT 9 , 8:00 pm IST",CHENNAI SUPER KINGS WON BY 7 WICKETS,"CHENNAI SUPER KINGS
141/3
(18.2 OV)","RAJASTHAN ROYALS
140/7
(20 OV )",https://www.iplt20.com/match/2009/10095
2009,36,"De Beers Diamond Oval, Kimberley","MAY, SAT 9 , 4:00 pm IST",PUNJAB KINGS WON BY 3 WICKETS,"DECCAN CHARGERS
168/5
(20 OV)","PUNJAB KINGS
169/7
(19.5 OV )",https://www.iplt20.com/match/2009/10094
2009,35,"Buffalo Park, East London","MAY, FRI 8 , 8:00 pm IST",DELHI DAREDEVILS WON BY 7 WICKETS,"DELHI DAREDEVILS
118/3
(18.5 OV)","MUMBAI INDIANS
116
(20 OV )",https://www.iplt20.com/match/2009/10093
2009,34,"SuperSport Park, Centurion","MAY, THU 7 , 8:00 pm IST",CSK WON BY 12 RUNS (D/L METHOD),"CHENNAI SUPER KINGS
185/3
(18 OV)","PUNJAB KINGS
174/3
(18 OV )",https://www.iplt20.com/match/2009/10092
2009,33,"SuperSport Park, Centurion","MAY, THU 7 , 4:00 pm IST",RAJASTHAN ROYALS WON BY 7 WICKETS,"ROYAL CHALLENGERS BANGALORE
105
(20 OV)","RAJASTHAN ROYALS
107/3
(15 OV )",https://www.iplt20.com/match/2009/10091
2009,32,"SuperSport Park, Centurion","MAY, WED 6 , 8:00 pm IST",DECCAN CHARGERS WON BY 19 RUNS,"DECCAN CHARGERS
145/6
(20 OV)","MUMBAI INDIANS
126/8
(20 OV )",https://www.iplt20.com/match/2009/10090
2009,31,"Kingsmead, Durban","MAY, TUE 5 , 8:00 pm IST",DELHI DAREDEVILS WON BY 9 WICKETS,"DELHI DAREDEVILS
157/1
(19 OV)","KOLKATA KNIGHT RIDERS
154/3
(20 OV )",https://www.iplt20.com/match/2009/10089
2009,30,"Kingsmead, Durban","MAY, TUE 5 , 4:00 pm IST",RAJASTHAN ROYALS WON BY 78 RUNS,"PUNJAB KINGS
133/8
(20 OV)","RAJASTHAN ROYALS
211/4
(20 OV )",https://www.iplt20.com/match/2009/10088
2009,29,"Buffalo Park, East London","MAY, MON 4 , 8:00 pm IST",CHENNAI SUPER KINGS WON BY 78 RUNS,"CHENNAI SUPER KINGS
178/3
(20 OV)","DECCAN CHARGERS
100
(14.4 OV )",https://www.iplt20.com/match/2009/10087
2009,28,"New Wanderers Stadium, Johannesburg","MAY, SUN 3 , 8:00 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 9 WICKETS,"ROYAL CHALLENGERS BANGALORE
150/1
(18.1 OV)","MUMBAI INDIANS
149/4
(20 OV )",https://www.iplt20.com/match/2009/10086
2009,27,Port Elizabeth,"MAY, SUN 3 , 4:00 pm IST",PUNJAB KINGS WON BY 6 WICKETS,"PUNJAB KINGS
154/4
(20 OV)","KOLKATA KNIGHT RIDERS
153/3
(20 OV )",https://www.iplt20.com/match/2009/10085
2009,26,"New Wanderers Stadium, Johannesburg","MAY, SAT 2 , 8:00 pm IST",CHENNAI SUPER KINGS WON BY 18 RUNS,"CHENNAI SUPER KINGS
163
(20 OV)","DELHI DAREDEVILS
145/8
(20 OV )",https://www.iplt20.com/match/2009/10084
2009,25,Port Elizabeth,"MAY, SAT 2 , 4:00 pm IST",RAJASTHAN ROYALS WON BY 3 WICKETS,"DECCAN CHARGERS
141/5
(20 OV)","RAJASTHAN ROYALS
142/7
(19.4 OV )",https://www.iplt20.com/match/2009/10083
2009,24,"Kingsmead, Durban","MAY, FRI 1 , 8:00 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 8 RUNS,"ROYAL CHALLENGERS BANGALORE
145/9
(20 OV)","PUNJAB KINGS
137/7
(20 OV )",https://www.iplt20.com/match/2009/10082
2009,23,"Buffalo Park, East London","MAY, FRI 1 , 4:00 pm IST",MUMBAI INDIANS WON BY 9 RUNS,"KOLKATA KNIGHT RIDERS
139/6
(20 OV)","MUMBAI INDIANS
148/6
(20 OV )",https://www.iplt20.com/match/2009/10081
2009,22,"SuperSport Park, Centurion","APR, THU 30 , 8:00 pm IST",CHENNAI SUPER KINGS WON BY 38 RUNS,"CHENNAI SUPER KINGS
164/5
(20 OV)","RAJASTHAN ROYALS
126/9
(19.3 OV )",https://www.iplt20.com/match/2009/10080
2009,21,"SuperSport Park, Centurion","APR, THU 30 , 4:00 pm IST",DELHI DAREDEVILS WON BY 6 WICKETS,"DECCAN CHARGERS
148/9
(20 OV)","DELHI DAREDEVILS
150/4
(18.4 OV )",https://www.iplt20.com/match/2009/10079
2009,20,"Kingsmead, Durban","APR, WED 29 , 8:00 pm IST",PUNJAB KINGS WON BY 3 RUNS,"PUNJAB KINGS
119/8
(20 OV)","MUMBAI INDIANS
116/7
(20 OV )",https://www.iplt20.com/match/2009/10078
2009,19,"Kingsmead, Durban","APR, WED 29 , 4:00 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 5 WICKETS,"ROYAL CHALLENGERS BANGALORE
143/5
(19.5 OV)","KOLKATA KNIGHT RIDERS
139/6
(20 OV )",https://www.iplt20.com/match/2009/10077
2009,18,"SuperSport Park, Centurion","APR, TUE 28 , 8:00 pm IST",RAJASTHAN ROYALS WON BY 5 WICKETS,"DELHI DAREDEVILS
143/7
(20 OV)","RAJASTHAN ROYALS
147/5
(18.3 OV )",https://www.iplt20.com/match/2009/10076
2009,17,Port Elizabeth,"APR, MON 27 , 8:00 pm IST",MUMBAI INDIANS WON BY 92 RUNS,"KOLKATA KNIGHT RIDERS
95/9
(15.2 OV)","MUMBAI INDIANS
187/6
(20 OV )",https://www.iplt20.com/match/2009/10075
2009,16,"Kingsmead, Durban","APR, MON 27 , 4:00 pm IST",DECCAN CHARGERS WON BY 6 WICKETS,"CHENNAI SUPER KINGS
165/6
(20 OV)","DECCAN CHARGERS
169/4
(19.3 OV )",https://www.iplt20.com/match/2009/10074
2009,15,"Newlands, Cape Town","APR, SUN 26 , 8:00 pm IST",PUNJAB KINGS WON BY 27 RUNS,"PUNJAB KINGS
139/6
(20 OV)","RAJASTHAN ROYALS
112/7
(20 OV )",https://www.iplt20.com/match/2009/10073
2009,14,Port Elizabeth,"APR, SUN 26 , 4:00 pm IST",DELHI DAREDEVILS WON BY 6 WICKETS,"ROYAL CHALLENGERS BANGALORE
149/7
(20 OV)","DELHI DAREDEVILS
150/4
(19.2 OV )",https://www.iplt20.com/match/2009/10072
2009,13,"Newlands, Cape Town","APR, SAT 25 , 8:00 pm IST",MATCH ABANDONED WITHOUT A BALL BOWLED,CHENNAI SUPER KINGS,KOLKATA KNIGHT RIDERS,https://www.iplt20.com/match/2009/10071
2009,12,"Kingsmead, Durban","APR, SAT 25 , 4:00 pm IST",DECCAN CHARGERS WON BY 12 RUNS,"DECCAN CHARGERS
168/9
(20 OV)","MUMBAI INDIANS
156/7
(20 OV )",https://www.iplt20.com/match/2009/10070
2009,11,"Kingsmead, Durban","APR, FRI 24 , 8:00 pm IST",PUNJAB KINGS WON BY 7 WICKETS,"ROYAL CHALLENGERS BANGALORE
168/9
(20 OV)","PUNJAB KINGS
173/3
(19 OV )",https://www.iplt20.com/match/2009/10069
2009,10,"Newlands, Cape Town","APR, THU 23 , 8:00 pm IST",ROYALS WON THE ONE-OVER ELIMINATOR,"KOLKATA KNIGHT RIDERS
150/8
(20 OV)","RAJASTHAN ROYALS
150/6
(20 OV )",https://www.iplt20.com/match/2009/10068
2009,9,"Kingsmead, Durban","APR, THU 23 , 4:00 pm IST",DELHI DAREDEVILS WON BY 9 RUNS,"CHENNAI SUPER KINGS
180/9
(20 OV)","DELHI DAREDEVILS
189/5
(20 OV )",https://www.iplt20.com/match/2009/10067
2009,8,"Newlands, Cape Town","APR, WED 22 , 8:00 pm IST",DECCAN CHARGERS WON BY 24 RUNS,"ROYAL CHALLENGERS BANGALORE
160/8
(20 OV)","DECCAN CHARGERS
184/6
(20 OV )",https://www.iplt20.com/match/2009/10066
2009,7,"Kingsmead, Durban","APR, TUE 21 , 8:00 pm IST",MATCH ABANDONED WITHOUT A BALL BOWLED,MUMBAI INDIANS,RAJASTHAN ROYALS,https://www.iplt20.com/match/2009/10065
2009,6,"Kingsmead, Durban","APR, TUE 21 , 4:00 pm IST",KKR WON BY 11 RUNS (D/L METHOD),"PUNJAB KINGS
158/6
(20 OV)","KOLKATA KNIGHT RIDERS
79/1
(9.2 OV )",https://www.iplt20.com/match/2009/10064
2009,5,Port Elizabeth,"APR, MON 20 , 8:00 pm IST",CHENNAI SUPER KINGS WON BY 92 RUNS,"ROYAL CHALLENGERS BANGALORE
87
(15.2 OV)","CHENNAI SUPER KINGS
179/5
(20 OV )",https://www.iplt20.com/match/2009/10063
2009,4,"Newlands, Cape Town","APR, SUN 19 , 8:00 pm IST",DECCAN CHARGERS WON BY 8 WICKETS,"DECCAN CHARGERS
104/2
(13.1 OV)","KOLKATA KNIGHT RIDERS
101
(19.4 OV )",https://www.iplt20.com/match/2009/10062
2009,3,"Newlands, Cape Town","APR, SUN 19 , 4:00 pm IST",DD WON BY 10 WICKETS (D/L METHOD),"DELHI DAREDEVILS
58/0
(4.5 OV)","PUNJAB KINGS
104/7
(12 OV )",https://www.iplt20.com/match/2009/10061
2009,2,"Newlands, Cape Town","APR, SAT 18 , 8:00 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 75 RUNS,"ROYAL CHALLENGERS BANGALORE
133/8
(20 OV)","RAJASTHAN ROYALS
58
(15.1 OV )",https://www.iplt20.com/match/2009/10060
2009,1,"Newlands, Cape Town","APR, SAT 18 , 4:00 pm IST",MUMBAI INDIANS WON BY 19 RUNS,"CHENNAI SUPER KINGS
146/7
(20 OV)","MUMBAI INDIANS
165/7
(20 OV )",https://www.iplt20.com/match/2009/10059
2012,75,"M. A. Chidambaram Stadium, Chennai","MAY, SUN 27 , 8:00 pm IST",KOLKATA KNIGHT RIDERS WON BY 5 WICKETS,"KOLKATA KNIGHT RIDERS
192/5
(19.4 OV)","CHENNAI SUPER KINGS
190/3
(20 OV )",https://www.iplt20.com/match/2012/10326
2012,74,"M. A. Chidambaram Stadium, Chennai","MAY, FRI 25 , 8:00 pm IST",CHENNAI SUPER KINGS WON BY 86 RUNS,"CHENNAI SUPER KINGS
222/5
(20 OV)","DELHI DAREDEVILS
136
(16.5 OV )",https://www.iplt20.com/match/2012/10325
2012,73,"M. Chinnaswamy Stadium, Bengaluru","MAY, WED 23 , 8:00 pm IST",CHENNAI SUPER KINGS WON BY 38 RUNS,"MUMBAI INDIANS
149/9
(20 OV)","CHENNAI SUPER KINGS
187/5
(20 OV )",https://www.iplt20.com/match/2012/10324
2012,72,Pune,"MAY, TUE 22 , 8:00 pm IST",KOLKATA KNIGHT RIDERS WON BY 18 RUNS,"DELHI DAREDEVILS
144/8
(20 OV)","KOLKATA KNIGHT RIDERS
162/4
(20 OV )",https://www.iplt20.com/match/2012/10323
2012,71,"Sawai Mansingh Stadium, Jaipur","MAY, SUN 20 , 8:00 pm IST",MUMBAI INDIANS WON BY 10 WICKETS,"RAJASTHAN ROYALS
162/6
(20 OV)","MUMBAI INDIANS
163/0
(18 OV )",https://www.iplt20.com/match/2012/10322
2012,70,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad","MAY, SUN 20 , 4:00 pm IST",DECCAN CHARGERS WON BY 9 RUNS,"DECCAN CHARGERS
132/7
(20 OV)","ROYAL CHALLENGERS BANGALORE
123/9
(20 OV )",https://www.iplt20.com/match/2012/10321
2012,69,Pune,"MAY, SAT 19 , 8:00 pm IST",KOLKATA KNIGHT RIDERS WON BY 34 RUNS,"PUNE WARRIORS INDIA
102/8
(20 OV)","KOLKATA KNIGHT RIDERS
136/4
(20 OV )",https://www.iplt20.com/match/2012/10320
2012,68,"HPCA Stadium, Dharamsala","MAY, SAT 19 , 4:00 pm IST",DELHI DAREDEVILS WON BY 6 WICKETS,"PUNJAB KINGS
141/8
(20 OV)","DELHI DAREDEVILS
145/4
(18.2 OV )",https://www.iplt20.com/match/2012/10319
2012,67,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad","MAY, FRI 18 , 8:00 pm IST",DECCAN CHARGERS WON BY 5 WICKETS,"DECCAN CHARGERS
128/5
(18.4 OV)","RAJASTHAN ROYALS
126/8
(20 OV )",https://www.iplt20.com/match/2012/10318
2012,66,"Arun Jaitley Stadium, Delhi","MAY, THU 17 , 8:00 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 21 RUNS,"DELHI DAREDEVILS
194/9
(20 OV)","ROYAL CHALLENGERS BANGALORE
215/1
(20 OV )",https://www.iplt20.com/match/2012/10317
2012,65,"HPCA Stadium, Dharamsala","MAY, THU 17 , 4:00 pm IST",PUNJAB KINGS WON BY 6 WICKETS,"PUNJAB KINGS
123/4
(16.3 OV)","CHENNAI SUPER KINGS
120/7
(20 OV )",https://www.iplt20.com/match/2012/10316
2012,64,"Wankhede Stadium, Mumbai","MAY, WED 16 , 8:00 pm IST",KOLKATA KNIGHT RIDERS WON BY 32 RUNS,"MUMBAI INDIANS
108
(19.1 OV)","KOLKATA KNIGHT RIDERS
140/7
(20 OV )",https://www.iplt20.com/match/2012/10315
2012,63,"Arun Jaitley Stadium, Delhi","MAY, TUE 15 , 8:00 pm IST",DELHI DAREDEVILS WON BY 5 WICKETS,"DELHI DAREDEVILS
140/5
(19 OV)","PUNJAB KINGS
136/8
(20 OV )",https://www.iplt20.com/match/2012/10314
2012,62,"Eden Gardens, Kolkata","MAY, MON 14 , 8:00 pm IST",CHENNAI SUPER KINGS WON BY 5 WICKETS,"KOLKATA KNIGHT RIDERS
158/6
(20 OV)","CHENNAI SUPER KINGS
160/5
(20 OV )",https://www.iplt20.com/match/2012/10313
2012,61,"M. Chinnaswamy Stadium, Bengaluru","MAY, MON 14 , 4:00 pm IST",MUMBAI INDIANS WON BY 5 WICKETS,"ROYAL CHALLENGERS BANGALORE
171/6
(20 OV)","MUMBAI INDIANS
173/5
(19.4 OV )",https://www.iplt20.com/match/2012/10312
2012,60,"IS Bindra Stadium, Mohali","MAY, SUN 13 , 8:00 pm IST",PUNJAB KINGS WON BY 4 WICKETS,"PUNJAB KINGS
194/6
(20 OV)","DECCAN CHARGERS
190/4
(20 OV )",https://www.iplt20.com/match/2012/10311
2012,59,"Sawai Mansingh Stadium, Jaipur","MAY, SUN 13 , 4:00 pm IST",RAJASTHAN ROYALS WON BY 45 RUNS,"RAJASTHAN ROYALS
170/4
(20 OV)","PUNE WARRIORS INDIA
125/9
(20 OV )",https://www.iplt20.com/match/2012/10310
2012,58,"M. A. Chidambaram Stadium, Chennai","MAY, SAT 12 , 8:00 pm IST",CHENNAI SUPER KINGS WON BY 9 WICKETS,"CHENNAI SUPER KINGS
115/1
(15.2 OV)","DELHI DAREDEVILS
114/5
(20 OV )",https://www.iplt20.com/match/2012/10309
2012,57,"Eden Gardens, Kolkata","MAY, SAT 12 , 4:00 pm IST",MUMBAI INDIANS WON BY 27 RUNS,"KOLKATA KNIGHT RIDERS
155/4
(20 OV)","MUMBAI INDIANS
182/1
(20 OV )",https://www.iplt20.com/match/2012/10308
2012,56,Pune,"MAY, FRI 11 , 8:00 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 35 RUNS,"PUNE WARRIORS INDIA
138/9
(20 OV)","ROYAL CHALLENGERS BANGALORE
173/3
(20 OV )",https://www.iplt20.com/match/2012/10307
2012,55,"Sawai Mansingh Stadium, Jaipur","MAY, THU 10 , 8:00 pm IST",CHENNAI SUPER KINGS WON BY 4 WICKETS,"RAJASTHAN ROYALS
126/6
(20 OV)","CHENNAI SUPER KINGS
127/6
(18.1 OV )",https://www.iplt20.com/match/2012/10306
2012,54,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad","MAY, THU 10 , 4:00 pm IST",DELHI DAREDEVILS WON BY 9 WICKETS,"DECCAN CHARGERS
187/4
(20 OV)","DELHI DAREDEVILS
193/1
(16.4 OV )",https://www.iplt20.com/match/2012/10305
2012,53,"Wankhede Stadium, Mumbai","MAY, WED 9 , 8:00 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 9 WICKETS,"MUMBAI INDIANS
141/6
(20 OV)","ROYAL CHALLENGERS BANGALORE
142/1
(18 OV )",https://www.iplt20.com/match/2012/10304
2012,52,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad","MAY, TUE 8 , 8:00 pm IST",PUNJAB KINGS WON BY 25 RUNS,"DECCAN CHARGERS
145/8
(20 OV)","PUNJAB KINGS
170/5
(20 OV )",https://www.iplt20.com/match/2012/10303
2012,51,Pune,"MAY, TUE 8 , 4:00 pm IST",RAJASTHAN ROYALS WON BY 7 WICKETS,"PUNE WARRIORS INDIA
125/6
(20 OV)","RAJASTHAN ROYALS
126/3
(16.2 OV )",https://www.iplt20.com/match/2012/10302
2012,50,"Arun Jaitley Stadium, Delhi","MAY, MON 7 , 8:00 pm IST",KOLKATA KNIGHT RIDERS WON BY 6 WICKETS,"DELHI DAREDEVILS
153/9
(20 OV)","KOLKATA KNIGHT RIDERS
154/4
(18.4 OV )",https://www.iplt20.com/match/2012/10301
2012,49,"M. Chinnaswamy Stadium, Bengaluru","MAY, SUN 6 , 8:00 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 5 WICKETS,"ROYAL CHALLENGERS BANGALORE
185/5
(18.5 OV)","DECCAN CHARGERS
181/2
(20 OV )",https://www.iplt20.com/match/2012/10300
2012,48,"Wankhede Stadium, Mumbai","MAY, SUN 6 , 4:00 pm IST",MUMBAI INDIANS WON BY 2 WICKETS,"MUMBAI INDIANS
174/8
(20 OV)","CHENNAI SUPER KINGS
173/8
(20 OV )",https://www.iplt20.com/match/2012/10299
2012,47,"IS Bindra Stadium, Mohali","MAY, SAT 5 , 8:00 pm IST",RAJASTHAN ROYALS WON BY 43 RUNS,"PUNJAB KINGS
134/8
(20 OV)","RAJASTHAN ROYALS
177/6
(20 OV )",https://www.iplt20.com/match/2012/10298
2012,46,"Eden Gardens, Kolkata","MAY, SAT 5 , 4:00 pm IST",KOLKATA KNIGHT RIDERS WON BY 7 RUNS,"KOLKATA KNIGHT RIDERS
150/5
(20 OV)","PUNE WARRIORS INDIA
143/8
(20 OV )",https://www.iplt20.com/match/2012/10297
2012,45,"M. A. Chidambaram Stadium, Chennai","MAY, FRI 4 , 8:00 pm IST",CHENNAI SUPER KINGS WON BY 10 RUNS,"CHENNAI SUPER KINGS
160/6
(20 OV)","DECCAN CHARGERS
150/5
(20 OV )",https://www.iplt20.com/match/2012/10296
